RIDE_ID,started_on,created_date,updated_date,completed_on,distance_travelled,end_location_lat,end_location_long,driver_rating,rider_rating,active_driver_id,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,rider_id,round_up_amount,promocode_redemption_id,driver_reached_on,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driver_accepted_on,esimtated_time_arrive,tipped_on,tip,driving_time_to_rider,dispatch_location_lat,dispatch_location_long,driving_distance_to_rider,dispatched_on,status,driver_id,car_id,color,make,model,year,car_categories_bitmask,rating,CO2 emission (g/km)
95673,2016-09-16 17:48:55-05:00,2016-09-16 17:40:12-05:00,2016-09-16 20:56:56-05:00,2016-09-16 18:03:10-05:00,7859.0,30.28,-97.759,5.0,5.0,42844,12.0,b'PREMIUM',,1.0,-97.811,30.289,34731,0.13,,2016-09-16 17:48:52-05:00,3.0,24.0,2.75,0.4,5.7,2016-09-16 12:40:17-05:00,1969-12-31 18:00:00.000000273-06:00,,,332.0,-97.759,-97.759,,9/16/16 22:40,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
25,2016-06-06 11:49:19-05:00,2016-06-06 11:44:10-05:00,2016-06-06 13:10:03-05:00,2016-06-06 11:56:56-05:00,2692.0,30.283,-97.747,3.0,5.0,13,,b'REGULAR',,0.0,-97.752,30.269,13,,,2016-06-06 11:44:22-05:00,1.5,7.42,1.5,0.25,1.91,,,,,,-97.747,-97.747,,6/6/16 16:44,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
582,2016-06-17 12:22:33-05:00,2016-06-17 12:13:10-05:00,2016-06-17 12:33:00-05:00,2016-06-17 12:32:26-05:00,2825.0,30.255,-97.719,,5.0,313,,b'REGULAR',,0.0,-97.732,30.27,281,0.0,,2016-06-17 12:22:27-05:00,1.5,8.18,1.5,0.25,2.47,2016-06-17 07:13:16-05:00,,,,,-97.719,-97.719,,6/17/16 17:13,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
131,2016-06-09 13:29:03-05:00,2016-06-09 13:28:53-05:00,2016-06-09 16:15:05-05:00,2016-06-09 13:45:39-05:00,6876.0,30.25,-97.767,3.0,5.0,80,,b'REGULAR',,0.0,-97.808,30.257,43,0.0,,2016-06-09 13:29:01-05:00,1.5,13.7,1.5,0.25,4.15,2016-06-09 08:28:58-05:00,,,,,-97.767,-97.767,,6/9/16 18:28,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
95673,2016-09-16 17:48:55-05:00,2016-09-16 17:40:12-05:00,2016-09-16 20:56:56-05:00,2016-09-16 18:03:10-05:00,7859.0,30.28,-97.759,5.0,5.0,42844,12.0,b'PREMIUM',,1.0,-97.811,30.289,34731,0.13,,2016-09-16 17:48:52-05:00,3.0,24.0,2.75,0.4,5.7,2016-09-16 12:40:17-05:00,1969-12-31 18:00:00.000000273-06:00,,,332.0,-97.759,-97.759,,9/16/16 22:40,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
840916,2017-01-29 01:14:07-06:00,2017-01-29 01:03:35-06:00,2017-01-29 12:59:06-06:00,2017-01-29 01:51:23-06:00,9708.0,30.237,-97.749,4.0,5.0,373571,,b'LUXURY',,1.0,-97.738,30.259,32012,0.0,,2017-01-29 01:12:02-06:00,5.0,48.24,3.75,0.5,18.64,2017-01-28 19:03:47-06:00,1969-12-31 18:00:00.000000583-06:00,,,583.0,-97.749,-97.749,2293.0,1/29/17 7:03,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
997485,2017-02-19 01:17:35-06:00,2017-02-19 01:14:57-06:00,2017-03-04 12:38:26-06:00,2017-02-19 01:33:40-06:00,13279.0,30.254,-97.831,5.0,5.0,447750,,b'REGULAR',,2.0,-97.749,30.27,63484,0.0,,2017-02-19 01:16:42-06:00,1.5,29.67,0.99,0.25,4.02,2017-02-18 19:15:07-06:00,1969-12-31 18:00:00.000000098-06:00,,,98.0,-97.831,-97.831,130.0,2/19/17 7:14,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
970351,2017-02-17 01:48:24-06:00,2017-02-17 01:43:51-06:00,2017-02-17 09:27:45-06:00,2017-02-17 01:51:18-06:00,1924.0,30.254,-97.737,5.0,5.0,435590,,b'LUXURY',,1.0,-97.739,30.267,189938,0.0,,2017-02-17 01:46:02-06:00,5.0,13.07,3.75,0.5,1.46,2017-02-16 19:43:59-06:00,1969-12-31 18:00:00.000000260-06:00,,,260.0,-97.737,-97.737,744.0,2/17/17 7:43,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
1427799,2017-04-05 19:48:14-05:00,2017-04-05 19:46:45-05:00,2017-04-05 19:56:38-05:00,2017-04-05 19:51:17-05:00,1229.0,30.263,-97.762,5.0,5.0,655360,,b'REGULAR',,1.0,-97.76,30.257,211132,0.0,,2017-04-05 19:46:49-05:00,1.5,6.06,0.99,0.25,0.77,2017-04-05 14:46:47-05:00,1969-12-31 18:00:00.000000061-06:00,,,61.0,-97.762,-97.762,15.0,4/6/17 0:46,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
613,2016-06-17 15:13:22-05:00,2016-06-17 15:08:03-05:00,2016-06-17 15:37:26-05:00,2016-06-17 15:32:49-05:00,7593.0,30.237,-97.719,,5.0,330,,b'REGULAR',,0.0,-97.742,30.28,296,0.0,,2016-06-17 15:12:28-05:00,1.5,15.1,1.5,0.25,4.87,2016-06-17 10:08:11-05:00,,,,,-97.719,-97.719,,6/17/16 20:08,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
1359552,2017-03-27 21:10:58-05:00,2017-03-27 21:06:23-05:00,2017-03-28 21:17:51-05:00,2017-03-27 21:17:47-05:00,3823.0,30.253,-97.77,,5.0,622301,8.0,b'REGULAR',,1.0,-97.748,30.264,108450,0.36,,2017-03-27 21:10:53-05:00,1.5,7.64,0.99,0.25,1.71,2017-03-27 16:06:26-05:00,1969-12-31 18:00:00.000000534-06:00,,,534.0,-97.77,-97.77,2285.0,3/28/17 2:06,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
351,2016-06-16 11:59:29-05:00,2016-06-16 11:49:45-05:00,2016-06-16 12:20:40-05:00,2016-06-16 12:20:38-05:00,5988.0,30.264,-97.76,,5.0,208,2.0,b'REGULAR',,0.0,-97.732,30.251,103,0.99,,2016-06-16 11:59:27-05:00,1.5,15.0,1.5,0.25,5.29,2016-06-16 06:50:39-05:00,,,,,-97.76,-97.76,,6/16/16 16:49,b'DECLINED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
15,2016-06-05 18:29:20-05:00,2016-06-05 18:20:28-05:00,2016-06-05 18:36:29-05:00,2016-06-05 18:35:57-05:00,3305.0,30.288,-97.743,3.0,5.0,8,,b'REGULAR',,0.0,-97.752,30.308,8,,,2016-06-05 18:28:59-05:00,1.5,7.74,1.5,0.25,1.66,,,,,,-97.743,-97.743,,6/5/16 23:20,b'DECLINED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
37,2016-06-06 19:02:14-05:00,2016-06-06 18:50:40-05:00,2016-06-10 21:10:34-05:00,2016-06-06 19:12:31-05:00,4728.0,30.272,-97.753,5.0,5.0,24,,b'REGULAR',,0.0,-97.763,30.297,19,,,2016-06-06 19:02:07-05:00,1.5,9.98,1.5,0.25,2.57,,,,,,-97.753,-97.753,,6/6/16 23:50,b'DECLINED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
1781,2016-06-22 16:26:24-05:00,2016-06-22 16:19:41-05:00,2016-06-22 16:51:11-05:00,2016-06-22 16:50:36-05:00,14734.0,30.282,-97.74,,5.0,895,,b'REGULAR',,0.0,-97.667,30.203,957,0.0,,2016-06-22 16:26:22-05:00,1.5,23.01,1.5,0.25,6.05,2016-06-22 11:19:49-05:00,,,,,-97.74,-97.74,,6/22/16 21:19,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
970351,2017-02-17 01:48:24-06:00,2017-02-17 01:43:51-06:00,2017-02-17 09:27:45-06:00,2017-02-17 01:51:18-06:00,1924.0,30.254,-97.737,5.0,5.0,435590,,b'LUXURY',,1.0,-97.739,30.267,189938,0.0,,2017-02-17 01:46:02-06:00,5.0,13.07,3.75,0.5,1.46,2017-02-16 19:43:59-06:00,1969-12-31 18:00:00.000000260-06:00,,,260.0,-97.737,-97.737,744.0,2/17/17 7:43,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
70549,2016-09-05 06:46:10-05:00,2016-09-05 06:19:59-05:00,2016-09-05 07:08:25-05:00,2016-09-05 06:46:16-05:00,10001.0,30.203,-97.667,5.0,5.0,31767,,b'REGULAR',,1.0,-97.742,30.266,27042,0.0,,2016-09-05 06:31:37-05:00,1.5,12.47,1.5,0.25,0.03,2016-09-05 01:20:06-05:00,,,,582.0,-97.667,-97.667,,9/5/16 11:19,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
15955,2016-07-29 11:09:37-05:00,2016-07-29 11:07:41-05:00,2016-07-29 11:14:41-05:00,2016-07-29 11:13:24-05:00,961.0,30.272,-97.758,5.0,5.0,7671,2.0,b'REGULAR',,0.0,-97.758,30.272,21,0.44,,2016-07-29 11:08:39-05:00,1.5,7.0,1.5,0.25,0.95,2016-07-29 06:07:46-05:00,,,,161.0,-97.758,-97.758,,7/29/16 16:07,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
278,2016-06-12 02:00:01-05:00,2016-06-12 01:35:34-05:00,2016-06-12 02:10:54-05:00,2016-06-12 02:10:05-05:00,2015.0,30.26,-97.756,5.0,5.0,161,,b'REGULAR',,0.0,-97.738,30.267,77,0.0,,2016-06-12 01:58:39-05:00,1.5,7.47,1.5,0.25,2.52,2016-06-11 20:35:41-05:00,,,,,-97.756,-97.756,,6/12/16 6:35,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
15086,2016-07-27 10:51:11-05:00,2016-07-27 10:44:54-05:00,2016-07-27 11:15:11-05:00,2016-07-27 11:15:07-05:00,16828.0,30.313,-97.739,,5.0,7097,2.0,b'REGULAR',,0.0,-97.666,30.197,6550,0.09,,2016-07-27 10:51:09-05:00,1.5,25.0,1.5,0.25,5.98,2016-07-27 05:45:00-05:00,,,,247.0,-97.739,-97.739,,7/27/16 15:44,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
1353470,2017-03-26 18:54:34-05:00,2017-03-26 18:51:09-05:00,2017-03-26 21:21:50-05:00,2017-03-26 19:07:06-05:00,5218.0,30.267,-97.741,5.0,5.0,619293,,b'REGULAR',,1.0,-97.749,30.29,29666,0.0,,2017-03-26 18:54:31-05:00,1.5,9.95,0.99,0.25,3.14,2017-03-26 13:51:14-05:00,1969-12-31 18:00:00.000000249-06:00,3/27/17 2:21,2.0,249.0,-97.741,-97.741,702.0,3/26/17 23:51,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
4,2016-06-04 10:24:25-05:00,2016-06-04 10:23:25-05:00,2016-06-04 10:26:16-05:00,2016-06-04 10:26:07-05:00,790.0,30.269,-97.752,5.0,5.0,2,,b'REGULAR',,0.0,-97.75,30.269,2,,,2016-06-04 10:24:15-05:00,1.5,5.0,1.5,0.25,0.43,,,,,,-97.752,-97.752,,6/4/16 15:23,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
151,2016-06-09 19:40:34-05:00,2016-06-09 19:27:56-05:00,2016-06-09 19:47:35-05:00,2016-06-09 19:47:19-05:00,1390.0,30.274,-97.76,,5.0,88,,b'REGULAR',,0.0,-97.752,30.269,51,0.0,,2016-06-09 19:40:26-05:00,1.5,6.05,1.5,0.25,1.69,2016-06-09 14:28:35-05:00,,,,,-97.76,-97.76,,6/10/16 0:27,b'DECLINED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
142374,2016-09-29 14:29:01-05:00,2016-09-29 14:25:04-05:00,2016-09-29 18:32:03-05:00,2016-09-29 15:01:19-05:00,24149.0,30.318,-97.709,5.0,5.0,62031,,b'REGULAR',15.0,1.0,-97.667,30.203,46798,0.0,,2016-09-29 14:28:57-05:00,1.5,26.2,0.99,0.25,8.08,2016-09-29 09:25:10-05:00,,,,,-97.709,-97.709,,9/29/16 19:25,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
61,2016-06-07 19:58:03-05:00,2016-06-07 19:47:21-05:00,2016-06-08 08:48:14-05:00,2016-06-07 20:04:36-05:00,2013.0,30.251,-97.749,5.0,5.0,37,,b'REGULAR',,0.0,-97.748,30.265,10,0.0,,2016-06-07 19:51:28-05:00,1.5,6.59,1.5,0.25,1.64,,,,,,-97.749,-97.749,,6/8/16 0:47,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
1179089,2017-03-12 17:55:46-05:00,2017-03-12 17:51:28-05:00,2017-03-12 21:50:06-05:00,2017-03-12 18:17:04-05:00,5412.0,30.227,-97.759,5.0,5.0,536466,,b'PREMIUM',,1.5,-97.748,30.265,214480,0.0,,2017-03-12 17:53:19-05:00,3.0,33.49,2.75,0.4,8.52,2017-03-12 12:51:37-05:00,1969-12-31 18:00:00.000000143-06:00,3/13/17 2:50,5.0,143.0,-97.759,-97.759,404.0,3/12/17 22:51,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
232,2016-06-11 12:20:14-05:00,2016-06-11 12:17:50-05:00,2016-06-11 12:25:22-05:00,2016-06-11 12:25:16-05:00,1004.0,30.271,-97.754,5.0,5.0,135,1.0,b'REGULAR',,0.0,-97.75,30.267,2,0.75,,2016-06-11 12:20:11-05:00,1.5,6.0,1.5,0.25,1.26,2016-06-11 07:17:56-05:00,,,,,-97.754,-97.754,,6/11/16 17:17,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
342325,2016-10-31 15:15:49-05:00,2016-10-31 15:11:26-05:00,2016-11-05 23:02:53-05:00,2016-10-31 15:35:34-05:00,17295.0,30.253,-97.724,5.0,5.0,145639,,b'SUV',,1.0,-97.666,30.201,5956,0.0,,2016-10-31 15:15:45-05:00,3.0,39.75,2.6,0.35,6.92,2016-10-31 10:11:30-05:00,1969-12-31 18:00:00.000000122-06:00,,,122.0,-97.724,-97.724,105.0,10/31/16 20:11,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
1347921,2017-03-26 02:08:40-05:00,2017-03-26 02:05:21-05:00,2017-03-27 02:21:18-05:00,2017-03-26 02:21:14-05:00,15722.0,30.173,-97.808,,5.0,616694,,b'REGULAR',,2.75,-97.736,30.268,242808,0.0,,2017-03-26 02:08:24-05:00,1.5,41.79,0.99,0.25,3.15,2017-03-25 21:05:58-05:00,1969-12-31 18:00:00.000000176-06:00,,,637.0,-97.808,-97.808,6021.0,3/26/17 7:05,b'DECLINED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
1417914,2017-04-03 22:43:44-05:00,2017-04-03 22:40:27-05:00,2017-04-03 22:50:04-05:00,2017-04-03 22:48:51-05:00,1823.0,30.259,-97.746,5.0,5.0,649974,,b'REGULAR',,1.0,-97.749,30.27,251763,0.0,,2017-04-03 22:43:42-05:00,1.5,6.06,0.99,0.25,1.28,2017-04-03 17:40:31-05:00,1969-12-31 18:00:00.000000303-06:00,4/4/17 3:50,2.0,303.0,-97.746,-97.746,1244.0,4/4/17 3:40,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
343,2016-06-16 09:26:42-05:00,2016-06-16 09:17:43-05:00,2016-06-16 09:53:12-05:00,2016-06-16 09:40:25-05:00,6942.0,30.254,-97.726,5.0,5.0,203,,b'REGULAR',,0.0,-97.764,30.282,97,0.0,,2016-06-16 09:26:35-05:00,1.5,13.03,1.5,0.25,3.43,2016-06-16 04:18:25-05:00,,,,,-97.726,-97.726,,6/16/16 14:17,b'DECLINED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
1359892,2017-03-27 22:49:18-05:00,2017-03-27 22:42:05-05:00,2017-03-27 23:21:52-05:00,2017-03-27 23:18:34-05:00,9039.0,30.264,-97.744,5.0,5.0,622301,,b'REGULAR',,1.0,-97.752,30.274,244590,0.0,,2017-03-27 22:48:38-05:00,1.5,16.54,0.99,0.25,7.32,2017-03-27 17:42:10-05:00,1969-12-31 18:00:00.000000250-06:00,3/28/17 4:21,3.0,250.0,-97.744,-97.744,1251.0,3/28/17 3:42,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
1052809,2017-02-25 23:37:55-06:00,2017-02-25 23:31:57-06:00,2017-02-26 23:43:30-06:00,2017-02-25 23:43:27-06:00,2471.0,30.265,-97.746,,4.0,473812,3.0,b'LUXURY',,1.0,-97.761,30.259,24563,0.31,,2017-02-25 23:36:36-06:00,5.0,15.69,3.75,0.5,2.77,2017-02-25 17:32:02-06:00,1969-12-31 18:00:00.000000383-06:00,,,383.0,-97.746,-97.746,3235.0,2/26/17 5:31,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
18234,2016-08-01 04:22:44-05:00,2016-08-01 04:14:14-05:00,2016-08-03 22:45:20-05:00,2016-08-01 04:40:51-05:00,15004.0,30.203,-97.668,5.0,5.0,8792,3.0,b'REGULAR',,0.0,-97.76,30.293,799,0.27,,2016-08-01 04:22:41-05:00,1.5,22.0,1.5,0.25,4.53,2016-07-31 23:14:18-05:00,,,,561.0,-97.668,-97.668,,8/1/16 9:14,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
595,2016-06-17 13:42:03-05:00,2016-06-17 13:36:38-05:00,2016-06-17 19:08:19-05:00,2016-06-17 14:07:41-05:00,17289.0,30.253,-97.756,5.0,5.0,313,,b'REGULAR',,0.0,-97.668,30.203,287,0.0,,2016-06-17 13:41:34-05:00,1.5,25.78,1.5,0.25,6.41,2016-06-17 08:36:42-05:00,,,,,-97.756,-97.756,,6/17/16 18:36,b'DISPATCHED',2,2,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
841761,2017-01-29 02:01:45-06:00,2017-01-29 01:56:38-06:00,2017-01-29 02:29:14-06:00,2017-01-29 02:27:44-06:00,22595.0,30.132,-97.784,5.0,5.0,373571,14.0,b'LUXURY',,1.0,-97.745,30.267,49938,0.13,,2017-01-29 02:01:41-06:00,5.0,73.0,3.75,0.5,13.0,2017-01-28 19:56:57-06:00,1969-12-31 18:00:00.000000301-06:00,,,280.0,-97.784,-97.784,844.0,1/29/17 7:56,b'DECLINED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
1377009,2017-03-30 23:07:34-05:00,2017-03-30 22:59:35-05:00,2017-03-30 23:16:51-05:00,2017-03-30 23:14:30-05:00,6326.0,30.411,-97.701,4.0,5.0,630829,,b'REGULAR',,1.0,-97.744,30.393,182775,0.0,,2017-03-30 23:07:30-05:00,1.5,9.22,0.99,0.25,1.74,2017-03-30 17:59:51-05:00,1969-12-31 18:00:00.000000275-06:00,,,267.0,-97.701,-97.701,2041.0,3/31/17 3:59,b'DECLINED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
393402,2016-11-10 09:53:47-06:00,2016-11-10 09:49:01-06:00,2016-11-10 10:19:59-06:00,2016-11-10 10:11:58-06:00,16397.0,30.261,-97.747,5.0,5.0,166588,8.0,b'SUV',,1.0,-97.667,30.203,104493,0.27,,2016-11-10 09:53:42-06:00,3.0,38.0,2.6,0.35,6.37,2016-11-10 03:49:05-06:00,1969-12-31 18:00:00.000000437-06:00,11/10/16 16:19,3.0,437.0,-97.747,-97.747,2496.0,11/10/16 15:49,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
108677,2016-09-19 11:34:18-05:00,2016-09-19 11:33:13-05:00,2016-09-19 11:35:07-05:00,2016-09-19 11:34:42-05:00,72.0,30.271,-97.759,5.0,5.0,47389,,b'REGULAR',,1.0,-97.759,30.271,38276,0.0,,2016-09-19 11:33:47-05:00,1.5,5.56,0.99,0.25,0.1,2016-09-19 06:33:17-05:00,1969-12-31 18:00:00.000000012-06:00,,,73.0,-97.759,-97.759,,9/19/16 16:33,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
